n;preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area;cobertura
3494;763248064;Zona Norte;Loja Shopping/ Ct Comercial;Moinho Office;Pelotas RS;;0;0;61;0
382;691011776;Zona Norte;Loja Shopping/ Ct Comercial;Moinho Office;Pelotas RS;;0;0;55;0
4893;691011776;Zona Norte;Loja Shopping/ Ct Comercial;Moinho Office;Pelotas RS;;0;0;55;0
2080;574294528;Zona Norte;Loja Shopping/ Ct Comercial;Moinho Office;Pelotas RS;;0;0;46;0
5486;20210000;TRES VENDAS;Predio Inteiro;Avenida Fernando Osorio;Pelotas RS;3;0;0;300;0
2955;10000000;FRAGATA;Predio Inteiro;Giuseppe Mattea;Pelotas RS;;0;0;40;0
2431;6800000;TRES VENDAS;Loteamento/Condominio;;Pelotas RS;;0;0;;0
5151;6000000;TRES VENDAS;Terreno Padrao;Br Br;Pelotas RS;;0;0;;0
2772;5500000;TRES VENDAS;Terreno Padrao;Avenida Fernando Osorio;Pelotas RS;;0;0;;0
3237;5500000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;570000;0
4398;5500000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;570000;1
4547;5500000;TRES VENDAS;Terreno Padrao;Avenida Fernando Osorio;Pelotas RS;;0;0;;1
252;5325000;LARANJAL;Pousada/Chale;Endereco Nao Informado;Pelotas RS;17;17;17;1;1
4820;5325000;LARANJAL;Pousada/Chale;Endereco Nao Informado;Pelotas RS;17;17;17;1;0
1390;5000000;CENTRO;Predio Inteiro;Barao de Santa Tecla De;Pelotas RS;;0;0;4;1
5043;5000000;CENTRO;Terreno Padrao;Rua Dr Cassiano;Pelotas RS;;0;0;16000;1
5053;5000000;CENTRO;Predio Inteiro;Barao de Santa Tecla De;Pelotas RS;;0;0;4;0
5544;5000000;FRAGATA;Terreno Padrao;Joao Goulart;Pelotas RS;;0;0;;0
5562;5000000;CENTRO;Predio Inteiro;Quinze de Novembro;Pelotas RS;;0;0;1200;0
5582;5000000;TRES VENDAS;Terreno Padrao;Br;Pelotas RS;;0;0;;0
1353;4800000;TRES VENDAS;Galpao/Deposito/Armazem;Av. Fernando Osorio;Pelotas RS;;0;0;1640;0
1708;4500000;TRES VENDAS;Predio Inteiro;Avenida Fernando Osorio;Pelotas RS;;0;0;1767;1
2427;4500000;CENTRO;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;3;2700;0
4150;4500000;CENTRO;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;3;2700;0
5476;4500000;CENTRO;Predio Inteiro;Quinze de Novembro;Pelotas RS;;0;0;;1
2769;4200000;CENTRO;Conjunto Comercial/Sala;;Pelotas RS;;0;5;1768;1
3356;4200000;TRES VENDAS;Galpao/Deposito/Armazem;Proximo Faculdade Anhanguera;Pelotas RS;;0;0;1643;1
4531;4200000;TRES VENDAS;Galpao/Deposito/Armazem;Proximo Faculdade Anhanguera;Pelotas RS;;0;0;1643;0
1950;4000000;TRES VENDAS;Terreno Padrao;Idelfonso  Simoes Lopes;Pelotas RS;;0;0;;1
2798;4000000;CENTRO;Predio Inteiro;Rua Andrade Neves;Pelotas RS;121;0;0;;0
5372;4000000;FRAGATA;Terreno Padrao;Avenida Herbert Hadler;Pelotas RS;;0;0;;0
1163;3600000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;5;2;3;587;0
5049;3600000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;5;2;3;587;0
611;3500000;FRAGATA;Terreno Padrao;Duque Caxias De;Pelotas RS;;0;0;;0
1228;3500000;TRES VENDAS;Predio Inteiro;Avenida Fernando Osorio;Pelotas RS;;0;0;;0
1411;3180000;CENTRO;Galpao/Deposito/Armazem;Proximo Ifsul;Pelotas RS;;0;0;2200;0
560;3068736;VL JD EUROPA;Apartamento;;Pelotas RS;3;3;4;236;1
5056;3068736;VL JD EUROPA;Apartamento;;Pelotas RS;3;3;4;236;1
469;3000000;CENTRO;Casa;General Osorio;Pelotas RS;5;3;3;;0
1455;3000000;CENTRO;Casa;Armando Gastaud Sicca;Pelotas RS;4;3;4;320;1
3450;3000000;AREAL;Casa;Avenida Ferreira Viana;Pelotas RS;8;0;6;800;0
4270;3000000;AREAL;Casa;Avenida Ferreira Viana;Pelotas RS;8;0;6;800;1
5011;3000000;CENTRO;Casa;Armando Gastaud Sicca;Pelotas RS;4;3;4;320;0
5440;3000000;TRES VENDAS;Predio Inteiro;Avenida 25 de Julho;Pelotas RS;;0;0;;0
5443;3000000;TRES VENDAS;Casa;Rua Armando Gastaud Sica;Pelotas RS;3;0;0;550;0
5583;3000000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;78000;0
144;2900000;TRES VENDAS;Casa;Avenida Fernando Osorio;Pelotas RS;4;0;60;217;1
3056;2900000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;3;0;0;200;0
4072;2900000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;3;0;0;200;0
2636;2800000;AREAL;Terreno Padrao;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;;0;0;;0
2859;2800000;CENTRO;Casa Comercial;Endereco Nao Informado;Pelotas RS;;0;0;124;0
4364;2800000;AREAL;Terreno Padrao;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;;0;0;;0
5554;2800000;CENTRO;Predio Inteiro;Rua Felix da Cunha;Pelotas RS;;0;0;124;0
5358;2700000;CENTRO;Terreno Padrao;Rua Dom Pedro II;Pelotas RS;;0;0;;1
5496;2700000;AREAL;Terreno Padrao;Avenida Domingos de Almeida;Pelotas RS;;0;0;;1
3190;2600000;VL JD EUROPA;Apartamento;;Pelotas RS;3;3;3;185;1
277;2500000;TRES VENDAS;Terreno Padrao;;Pelotas RS;;0;0;;0
960;2500000;FRAGATA;Predio Inteiro;Avenida Duque de Caxias;Pelotas RS;;0;0;;1
1422;2500000;CENTRO;Terreno Padrao;;Pelotas RS;;0;0;;0
3347;2500000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;300;0
4712;2500000;TRES VENDAS;Terreno Padrao;;Pelotas RS;;0;0;;0
4864;2500000;FRAGATA;Predio Inteiro;Avenida Duque de Caxias;Pelotas RS;;0;0;;0
669;2300000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;20000;0
1522;2300000;CENTRO;Terreno Padrao;Vinte de Setembro;Pelotas RS;;0;0;;0
4129;2300000;CENTRO;Predio Inteiro;;Pelotas RS;;0;5;2748;0
5198;2300000;CENTRO;Terreno Padrao;Praca 20 de Setembro;Pelotas RS;;0;0;;0
1872;2200000;CENTRO;Predio Inteiro;Cinco Distrito Industrial Anacleto Firpo;Pelotas RS;;0;0;1400;1
2404;2200000;CENTRO;Terreno Padrao;Rua Mal Deodoro;Pelotas RS;;0;0;;0
2528;2200000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;10000;0
3400;2200000;CENTRO;Casa;Rua Anchieta;Pelotas RS;3;0;1;239;0
4022;2200000;CENTRO;Terreno Padrao;Rua Mal Deodoro;Pelotas RS;;0;0;;0
5232;2200000;CENTRO;Predio Inteiro;Rua Gal Osorio;Pelotas RS;;0;0;288;0
5529;2200000;TRES VENDAS;Terreno Padrao;Fernando Osorio;Pelotas RS;2;0;0;;0
5565;2200000;INDETERMINADO;Terreno Padrao;Marcilio Dias;Pelotas RS;;0;0;;0
5576;2200000;FRAGATA;Terreno Padrao;Avenida Pres Joao Goulart;Pelotas RS;;0;0;;1
3704;2160000;CENTRO;Casa Comercial;Endereco Nao Informado;Pelotas RS;;0;0;350;0
4509;2160000;CENTRO;Casa Comercial;Endereco Nao Informado;Pelotas RS;;0;0;350;0
2545;2150000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;0;2;210;0
4176;2150000;CENTRO;Terreno Padrao;Dom Pedro II;Pelotas RS;;0;0;;0
3809;2130000;AREAL;Casa;Presidente Juscelino Kubitschek de Oliveira;Pelotas RS;2;2;8;521;0
5437;2130000;TRES VENDAS;Terreno Padrao;Vinte e Cinco de Julho;Pelotas RS;;0;0;;0
1447;2128000;AREAL;Casa;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;3;2;2;650;0
653;2120000;Zona Norte;Casa;Proximo Dom Joaquim;Pelotas RS;4;2;0;302;1
1771;2120000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;2;0;400;0
1867;2120000;AREAL;Casa;Alcides Torres Diniz;Pelotas RS;4;1;4;436;0
3986;2120000;AREAL;Casa;Alcides Torres Diniz;Pelotas RS;4;1;4;436;1
4462;2120000;AREAL;Casa;;Pelotas RS;3;2;30;521;0
4666;2120000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;2;0;400;0
678;2100000;CENTRO;Terreno Padrao;Rua Dom Pedro II;Pelotas RS;;0;0;2652;0
3026;2100000;CENTRO;Casa;Rua Goncalves Chaves;Pelotas RS;4;2;4;670;0
3057;2100000;CENTRO;Casa Comercial;Rua Goncalves Chaves;Pelotas RS;4;2;4;;0
768;2000000;FRAGATA;Predio Inteiro;Avenida Pinheiro Machado;Pelotas RS;;0;0;1468;0
1207;2000000;LARANJAL;Casa;Um Lmt Vl Assumpcao;Pelotas RS;5;3;3;570;0
2197;2000000;CENTRO;Galpao/Deposito/Armazem;;Pelotas RS;;0;0;100;0
2348;2000000;AREAL;Terreno Padrao;Rua Pracinha Izidro Matoso;Pelotas RS;;0;0;;0
2538;2000000;TRES VENDAS;Predio Inteiro;Alexandre Vieira da Cunha;Pelotas RS;;0;0;;0
2758;2000000;CENTRO;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;1480;1
3889;2000000;INDETERMINADO;Predio Inteiro;Rua Marcilio Dias;Pelotas RS;3;1;0;650;0
4128;2000000;TRES VENDAS;Predio Inteiro;Alexandre Vieira da Cunha;Pelotas RS;;0;0;;0
4250;2000000;AREAL;Casa;Rua Vereador Dario Gastaud de Oliveira;Pelotas RS;3;1;2;520;1
4785;2000000;TRES VENDAS;Terreno Padrao;Avenida 25 de Julho;Pelotas RS;;0;0;66000;0
5033;2000000;Baronesa;Casa;Alcides Torres Diniz;Pelotas RS;4;1;5;436;0
5052;2000000;CENTRO;Terreno Padrao;Alvaro Chaves;Pelotas RS;;0;0;;0
467;1995000;FRAGATA;Terreno Padrao;Avenida Duque de Caxias;Pelotas RS;;0;0;6808;0
1192;1990000;AREAL;Casa;;Pelotas RS;4;1;2;520;0
3825;1990000;AREAL;Casa;;Pelotas RS;4;1;2;520;0
5154;1950000;TRES VENDAS;Terreno Padrao;Fernando Osorio;Pelotas RS;;0;0;;0
1014;1900000;CENTRO;Casa;;Pelotas RS;5;3;0;440;0
2675;1900000;Zona Norte;Casa;Andrade Neves;Pelotas RS;4;1;2;450;0
3640;1900000;CENTRO;Predio Inteiro;;Pelotas RS;;0;5;1311;0
488;1855000;CENTRO;Casa;;Pelotas RS;4;1;2;476;0
812;1850000;CENTRO;Casa;;Pelotas RS;4;2;2;476;0
2091;1850000;TRES VENDAS;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;0;1180;0
5058;1850000;TRES VENDAS;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;0;1180;0
479;1800000;LARANJAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;2800;0
627;1800000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;5;2;0;270;0
683;1800000;CENTRO;Casa;Rua Felix da Cunha;Pelotas RS;4;1;4;440;0
1038;1800000;LARANJAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;2800;0
1080;1800000;Zona Norte;Terreno Padrao;Rua Rafael Pinto Bandeira;Pelotas RS;;0;0;;1
1830;1800000;LARANJAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;2800;0
2316;1800000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;20000;0
3760;1800000;Zona Norte;Casa;Rua Thomas Antonio Gonzaga;Pelotas RS;5;0;3;550;0
3897;1800000;TRES VENDAS;Casa;Fernando Osorio;Pelotas RS;4;2;6;850;0
4112;1800000;AREAL;Casa;;Pelotas RS;5;2;3;550;0
4937;1800000;CENTRO;Casa;Rua Felix da Cunha;Pelotas RS;4;1;4;440;0
5028;1800000;TRES VENDAS;Casa;Fernando Osorio;Pelotas RS;4;2;6;850;0
5451;1800000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;4;1;0;775;0
5473;1800000;TRES VENDAS;Predio Inteiro;Fernando Osorio;Pelotas RS;2;0;0;;0
5518;1800000;PORTO;Terreno Padrao;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;;0;0;;0
2012;1750000;Zona Norte;Casa;;Pelotas RS;4;1;2;700;1
562;1700000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;3780;0
1070;1700000;CENTRO;Conjunto Comercial/Sala;Rua Prof Dr Araujo;Pelotas RS;;0;0;;0
1234;1700000;RECANTO DE PORTUGAL;Casa;Cidade de Aveiro;Pelotas RS;4;3;5;900;0
2556;1700000;CENTRO;Terreno Padrao;Rua Dr Amarante;Pelotas RS;;0;0;;0
2570;1700000;TRES VENDAS;Predio Inteiro;;Pelotas RS;;0;5;400;0
3233;1700000;RECANTO DE PORTUGAL;Casa;Rua Vila do Conde;Pelotas RS;7;4;4;380;0
3443;1700000;Zona Norte;Casa;Rua Dr Armando Fagundes;Pelotas RS;4;1;2;400;0
4986;1700000;CENTRO;Terreno Padrao;Rua Dr Amarante;Pelotas RS;;0;0;;1
5332;1700000;TRES VENDAS;Predio Inteiro;Avenida Sen Salgado Filho;Pelotas RS;;0;0;;0
5468;1700000;FRAGATA;Terreno Padrao;Duque Caxias De;Pelotas RS;;0;0;;0
3415;1690000;TRES VENDAS;Galpao/Deposito/Armazem;Proximo Br 116;Pelotas RS;;0;0;744;1
4233;1690000;TRES VENDAS;Galpao/Deposito/Armazem;Proximo Br 116;Pelotas RS;;0;0;744;0
5445;1690000;TRES VENDAS;Terreno Padrao;Fernando Osorio;Pelotas RS;;0;0;;0
35;1650000;CENTRO;Predio Inteiro;Rua Andrade Neves;Pelotas RS;;0;0;464;0
134;1650000;CENTRO;Casa;;Pelotas RS;3;1;6;385;0
350;1650000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;3;0;16;475;0
777;1650000;CENTRO;Predio Inteiro;Andrade Neves;Pelotas RS;;0;0;;0
2552;1650000;RECANTO DE PORTUGAL;Casa;;Pelotas RS;3;1;4;480;0
4415;1650000;CENTRO;Casa;;Pelotas RS;3;1;6;385;0
4767;1650000;CENTRO;Predio Inteiro;Andrade Neves;Pelotas RS;;0;0;;0
5055;1650000;RECANTO DE PORTUGAL;Casa;;Pelotas RS;3;1;4;480;0
1270;1600000;AREAL;Casa;Rua Clovis Gularte Candiota;Pelotas RS;5;2;4;440;0
1754;1600000;Baronesa;Casa;Proximo Baronesa;Pelotas RS;4;1;4;408;0
1987;1600000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;0;340;0
2456;1600000;CENTRO;Casa;Rua Goncalves Chaves;Pelotas RS;3;3;3;420;0
2590;1600000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;44720;0
3123;1600000;TRES VENDAS;Terreno Padrao;Leopoldo Brod;Pelotas RS;;0;0;26000;0
3802;1600000;TRES VENDAS;Terreno Padrao;Rua Leopoldo Broad;Pelotas RS;;0;0;;0
4569;1600000;CENTRO;Casa;Rua Goncalves Chaves;Pelotas RS;3;3;3;420;0
5384;1600000;CENTRO;Terreno Padrao;Rua Sen Mendonca;Pelotas RS;;0;0;;0
5407;1600000;FRAGATA;Terreno Padrao;Duque Caxias De;Pelotas RS;;0;0;;0
5472;1600000;TRES VENDAS;Terreno Padrao;Fernando Osorio;Pelotas RS;;0;0;;0
5423;1595000;TRES VENDAS;Terreno Padrao;Leopoldo Brod;Pelotas RS;;0;0;;0
279;1590000;Zona Norte;Terreno Padrao;Proximo Parafusos Santa Rita;Pelotas RS;;0;0;;0
923;1590000;CENTRO;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;0;240;0
1408;1590000;TRES VENDAS;Casa;Otto Pommerening;Pelotas RS;4;2;5;362;0
2703;1590000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;;0
4234;1590000;CENTRO;Predio Inteiro;Endereco Nao Informado;Pelotas RS;;0;0;240;0
260;1550000;CENTRO;Casa;Pinto Martins;Pelotas RS;4;1;0;400;0
5013;1550000;CENTRO;Casa;Pinto Martins;Pelotas RS;4;1;0;400;0
5510;1550000;CENTRO;Terreno Padrao;Rua Gal Teles;Pelotas RS;;0;0;;0
4254;1530000;CENTRO;Apartamento;;Pelotas RS;3;0;2;320;0
2495;1520000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;8800;0
5289;1520000;FRAGATA;Terreno Padrao;Duque Caxias De;Pelotas RS;;0;0;;0
400;1500000;RECANTO DE PORTUGAL;Casa;Cidade de Aveiro;Pelotas RS;6;2;4;600;0
11;1500000;Zona Norte;Apartamento;;Pelotas RS;4;2;3;640;1
1444;1500000;CENTRO;Casa;;Pelotas RS;3;2;3;384;0
1624;1500000;AREAL;Terreno Padrao;Avenida Sao Francisco de Paula;Pelotas RS;;0;0;;0
2303;1500000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;3;0;2;456;0
2311;1500000;AREAL;Terreno Padrao;Avenida Joao Gomes Nogueira;Pelotas RS;;0;0;;0
2468;1500000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;25000;0
3364;1500000;FRAGATA;Terreno Padrao;Avenida Duque de Caxias;Pelotas RS;;0;0;6000;0
3548;1500000;AREAL;Casa;;Pelotas RS;3;1;2;;0
3780;1500000;CENTRO;Apartamento;XV de Novembro;Pelotas RS;4;0;2;;0
4075;1500000;AREAL;Terreno Padrao;Avenida Joao Gomes Nogueira;Pelotas RS;;0;0;;0
4784;1500000;AREAL;Casa;;Pelotas RS;3;1;2;;0
4904;1500000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;4;2;3;386;0
5082;1500000;TRES VENDAS;Terreno Padrao;Br Br;Pelotas RS;;0;0;;0
5162;1500000;TRES VENDAS;Terreno Padrao;Br Br;Pelotas RS;;0;0;;0
5207;1500000;CENTRO;Terreno Padrao;Br Br;Pelotas RS;;0;0;;0
5262;1500000;TRES VENDAS;Terreno Padrao;Leopoldo Brod;Pelotas RS;;0;0;;0
5267;1500000;TRES VENDAS;Terreno Padrao;Br Br;Pelotas RS;;0;0;;0
5469;1500000;CENTRO;Casa;Goncalves Chaves;Pelotas RS;4;0;1;250;0
5484;1500000;AREAL;Predio Inteiro;Avenida Ferreira Viana;Pelotas RS;1;0;0;;0
5555;1500000;CENTRO;Terreno Padrao;Rua 15 de Novembro;Pelotas RS;;0;0;;0
5534;1490000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;1400;0
5012;1480000;FRAGATA;Sitio;;Pelotas RS;2;1;2;340000;0
5133;1470000;CENTRO;Predio Inteiro;Quinze de Novembro;Pelotas RS;;0;0;682;0
4324;1460000;CENTRO;Apartamento;Rua 15 de Novembro;Pelotas RS;3;1;3;443;0
416;1450000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;2;4;386;0
2023;1450000;CENTRO;Casa;;Pelotas RS;4;2;4;420;0
2137;1450000;AREAL;Casa;Proximo Jk de Oliveira/Goncalves Chaves;Pelotas RS;4;2;6;386;0
3192;1450000;CENTRO;Casa;Rua Goncalves Chaves;Pelotas RS;5;2;4;386;0
4149;1450000;CENTRO;Casa;Rua Goncalves Chaves;Pelotas RS;5;2;4;386;0
4802;1450000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;4;2;4;386;0
609;1400000;INDETERMINADO;Predio Inteiro;Ferreira Viana;Pelotas RS;;0;0;;0
859;1400000;CENTRO;Casa;Marechal Deodoro;Pelotas RS;4;0;0;;0
975;1400000;CENTRO;Casa Comercial;Juscelino Kubitschek de Oliveira;Pelotas RS;;0;2;;0
1310;1400000;CENTRO;Casa;Rua Andrade Neves;Pelotas RS;3;1;4;388;0
1842;1400000;CENTRO;Casa Comercial;XV de Novembro;Pelotas RS;;0;0;;0
3499;1400000;CENTRO;Galpao/Deposito/Armazem;Rua Marcilio Dias;Pelotas RS;;0;0;858;0
4407;1400000;AREAL;Loja/Salao;Endereco Nao Informado;Pelotas RS;;0;0;570;0
5091;1400000;AREAL;Predio Inteiro;Avenida Domingos de Almeida;Pelotas RS;;0;0;570;1
5138;1400000;TRES VENDAS;Terreno Padrao;Fernando Osorio;Pelotas RS;;0;0;;0
5411;1400000;TRES VENDAS;Terreno Padrao;Vinte e Cinco de Julho;Pelotas RS;;0;0;;0
5551;1400000;Baronesa;Casa;Clovis Gularte Candiota;Pelotas RS;3;1;2;300;1
5373;1390000;PORTO;Terreno Padrao;Dona Mariana Eufrasia da Silveira;Pelotas RS;;0;0;;0
62;1380000;CENTRO;Predio Inteiro;Rua Mal Deodoro;Pelotas RS;5;3;0;;0
1328;1380000;CENTRO;Terreno Padrao;Dona Mariana;Pelotas RS;;0;0;1500;0
3455;1380000;CENTRO;Apartamento;Rua 15 de Novembro;Pelotas RS;3;1;2;430;0
4766;1380000;CENTRO;Predio Inteiro;Rua Mal Deodoro;Pelotas RS;5;3;0;;0
1063;1378000;LARANJAL;Casa;;Pelotas RS;4;1;2;310;0
3212;1378000;CENTRO;Terreno Padrao;;Pelotas RS;;0;0;1876;1
323;1370000;AREAL;Casa;Loteamento Parque dos Imigrantes;Pelotas RS;3;3;2;298;0
1275;1350000;AREAL;Casa;Barros Cassal;Pelotas RS;3;2;5;301;0
2172;1350000;TRES VENDAS;Terreno Padrao;Ignacio Teixeira Macedo;Pelotas RS;;0;0;;0
2382;1350000;CENTRO;Predio Inteiro;Rua Santos Dumont;Pelotas RS;;0;0;680;0
3151;1350000;AREAL;Casa;;Pelotas RS;5;4;2;315;0
4476;1350000;AREAL;Casa;Barros Cassal;Pelotas RS;3;2;5;301;0
1452;1316156;Zona Norte;Conjunto Comercial/Sala;Dom Joaquim;Pelotas RS;;0;0;210;0
1099;1300000;FRAGATA;Terreno Padrao;Duque Caxias De;Pelotas RS;;0;0;4200;0
1112;1300000;AREAL;Casa;Rua Clovis Gularte Candiota;Pelotas RS;4;1;2;291;0
1847;1300000;AREAL;Casa;Sao Francisco de Paula;Pelotas RS;3;1;2;300;0
2114;1300000;AREAL;Casa;Rua Otacilio Camara;Pelotas RS;3;1;2;176;0
2212;1300000;CENTRO;Apartamento;;Pelotas RS;3;1;2;214;0
2480;1300000;CENTRO;Predio Inteiro;Avenida Bento Goncalves;Pelotas RS;3;0;0;430;0
2994;1300000;CENTRO;Terreno Padrao;Rua Lobo da Costa;Pelotas RS;;0;0;317;0
3348;1300000;AREAL;Casa;Visconde Ouro Preto De;Pelotas RS;3;1;3;200;0
3545;1300000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;0;207;0
4478;1300000;CENTRO;Predio Inteiro;Avenida Bento Goncalves;Pelotas RS;3;0;0;430;0
4499;1300000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;0;207;0
4815;1300000;CENTRO;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;1800;0
4964;1300000;AREAL;Casa;Visconde Ouro Preto De;Pelotas RS;3;1;3;200;0
5146;1300000;AREAL;Terreno Padrao;Goncalves Chaves;Pelotas RS;;0;0;;0
5164;1300000;PORTO;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;1291;0
5231;1300000;AREAL;Terreno Padrao;Avenida Ferreira Viana;Pelotas RS;;0;0;;0
5247;1300000;AREAL;Terreno Padrao;Avenida Ferreira Viana;Pelotas RS;;0;0;;0
5365;1300000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;111199;0
647;1280000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;4;4;6;430;0
2608;1280000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;3;3;2;353;0
4386;1280000;TRES VENDAS;Casa;Endereco Nao Informado;Pelotas RS;3;3;2;353;0
5329;1280000;Zona Norte;Casa;Dona Sinha Costinha;Pelotas RS;3;1;2;350;0
5572;1280000;AREAL;Casa;Um Sao Francisco de Paula;Pelotas RS;3;1;2;235;0
1060;1275000;RECANTO DE PORTUGAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;20000;0
1485;1272000;Zona Norte;Apartamento;Proxima Dom Joaquim;Pelotas RS;3;1;3;243;1
1834;1272000;Zona Norte;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;3;3;3;337;1
103;1270000;AREAL;Casa;R 26;Pelotas RS;3;1;0;159;0
1308;1252789;TRES VENDAS;Conjunto Comercial/Sala;Avenida Dom Joaquim;Pelotas RS;;0;0;210;0
2237;1250000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;4;1;2;236;1
3504;1250000;CENTRO;Casa;Rua Gal Argolo;Pelotas RS;4;0;4;633;0
682;1200000;CENTRO;Apartamento;;Pelotas RS;3;1;2;400;0
836;1200000;CENTRO;Terreno Padrao;Dom Pedro II;Pelotas RS;;0;0;;0
838;1200000;Zona Rural;Terreno Padrao;;Pelotas RS;;0;0;10000;0
890;1200000;TRES VENDAS;Casa;;Pelotas RS;3;1;4;350;0
1044;1200000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;1;0;0;216;0
1087;1200000;CENTRO;Casa Comercial;Bento Goncalves;Pelotas RS;;0;5;209;0
1193;1200000;CENTRO;Apartamento;;Pelotas RS;3;3;1;420;0
1826;1200000;CENTRO;Terreno Padrao;;Pelotas RS;;0;0;;0
1870;1200000;INDETERMINADO;Casa;Professor Julio Gustavo Fehrenbach;Pelotas RS;4;2;2;300;0
1905;1200000;LARANJAL;Predio Inteiro;Espirito Santo;Pelotas RS;;0;2;448;1
1956;1200000;CENTRO;Predio Inteiro;Santos Dumont;Pelotas RS;;0;0;682;0
2309;1200000;CENTRO;Casa Comercial;Anchieta;Pelotas RS;;0;0;351;0
2433;1200000;LARANJAL;Predio Inteiro;Cruz Alta;Pelotas RS;;0;0;503;0
2568;1200000;CENTRO;Apartamento;;Pelotas RS;4;1;2;;0
2696;1200000;FRAGATA;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;12876;0
2974;1200000;CENTRO;Casa Comercial;;Pelotas RS;;0;0;352;0
2983;1200000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;1;323;0
3078;1200000;CENTRO;Apartamento;Goncalves Chaves;Pelotas RS;3;1;2;300;0
3209;1200000;CENTRO;Terreno Padrao;General Argolo;Pelotas RS;;0;0;;0
3663;1200000;LARANJAL;Casa de Condominio;;Pelotas RS;3;0;0;400;0
3665;1200000;CENTRO;Casa;Rua Anchieta;Pelotas RS;5;0;0;351;0
3955;1200000;TRES VENDAS;Predio Inteiro;Vinte e Cinco de Julho;Pelotas RS;;0;0;519;0
4046;1200000;INDETERMINADO;Casa;Endereco Nao Informado;Pelotas RS;3;1;0;500;0
4507;1200000;CENTRO;Casa;Padre Felicio;Pelotas RS;2;0;5;;0
4826;1200000;LARANJAL;Predio Inteiro;Cruz Alta;Pelotas RS;;0;0;503;0
5023;1200000;LARANJAL;Predio Inteiro;Espirito Santo;Pelotas RS;;0;2;448;0
5047;1200000;CENTRO;Casa;Rua Anchieta;Pelotas RS;5;0;0;351;0
