n;preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area;cobertura
1438;220000;LARANJAL;Terreno Padrao;Avenida Adolfo Fetter;Pelotas RS;;0;0;;0
1806;220000;AREAL;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;2;0;1;70;0
1649;220000;RECANTO DE PORTUGAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;336;0
1689;220000;TRES VENDAS;Casa;Rudi Bonow;Pelotas RS;3;0;1;140;0
1766;220000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;103;0
1787;220000;FRAGATA;Casa;;Pelotas RS;4;2;2;129;0
2044;220000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;1;0;0;70;0
1837;220000;CENTRO;Terreno Padrao;;Pelotas RS;;0;0;;0
2028;220000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;0;1;138;0
2077;220000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;51;0
3134;220000;TRES VENDAS;Apartamento;Avenida Fernando Osorio;Pelotas RS;2;0;0;60;0
2196;220000;Las Acacias;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;487;0
2310;220000;PORTO;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;43;0
2391;220000;PORTO;Casa;Almirante Tamandare;Pelotas RS;2;0;1;60;0
2398;220000;CENTRO;Casa Comercial;Professor Araujo;Pelotas RS;;0;0;;0
2791;220000;TRES VENDAS;Terreno Padrao;R 1;Pelotas RS;;0;0;358;0
2982;220000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;45;0
3054;220000;LARANJAL;Terreno Padrao;Adolfo Fetter;Pelotas RS;;0;0;;0
3205;220000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;78;0
3135;220000;TRES VENDAS;Casa de Condominio;Rua Olegario Mariano;Pelotas RS;2;2;1;67;0
3148;220000;TRES VENDAS;Casa de Condominio;Rua Olegario Mariano;Pelotas RS;2;2;1;66;0
3178;220000;TRES VENDAS;Casa;Rua Raul Pompeia;Pelotas RS;2;0;0;88;0
3184;220000;Navegantes;Casa;;Pelotas RS;2;0;1;85;0
3191;220000;TRES VENDAS;Casa;Rua Dr Rocha Jr;Pelotas RS;4;1;1;110;0
3273;220000;CENTRO;Apartamento;Rua Cel Alberto Rosa;Pelotas RS;2;0;0;77;0
3425;220000;CENTRO;Apartamento;;Pelotas RS;2;0;0;75;0
3517;220000;CENTRO;Apartamento;Rua Alm Barroso;Pelotas RS;1;1;1;36;0
3515;220000;CENTRO;Casa;Xavier Ferreira;Pelotas RS;2;0;0;100;0
3800;220000;CENTRO;Apartamento;Rua Maestro Mendanha;Pelotas RS;2;0;1;67;0
3605;220000;PORTO;Casa;Endereco Nao Informado;Pelotas RS;3;0;1;90;0
3989;220000;CENTRO;Apartamento;;Pelotas RS;2;0;1;55;0
3888;220000;CENTRO;Casa;Tiradentes;Pelotas RS;3;1;0;100;0
4288;220000;CENTRO;Apartamento;;Pelotas RS;2;0;0;75;0
4018;220000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;103;0
4050;220000;TRES VENDAS;Casa;Rua Dr Rocha Jr;Pelotas RS;3;1;2;110;0
